Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",30/07/2020 4:48:13 p.m.,27.4,27.45,29.9,30,


No background information available.


Well,Calc3:Ratio,Calc1:Average within well,Calc2:Average within well,
A01,4.00408203903,40217,10044,
A02,4.1208869814,40327,9786.0,
A03,4.13434973908,40405,9773.0,
A04,4.09778330226,39560,9654.0,
A05,4.14271326418,41133,9929.0,
A06,4.11314984709,40350,9810.0,
A07,4.1325840358,39710,9609.0,
A08,4.13792756539,41131,9940.0,
A09,4.20985305001,39821,9459.0,
A10,4.11586234983,40426,9822.0,
A11,4.16549368661,40247,9662.0,
A12,4.20713905168,39484,9385.0,
B01,4.16724325393,42160,10117,
B02,4.07434473351,41815,10263,
B03,4.13963874553,41711,10076,
B04,4.04012405505,41686,10318,
B05,4.11560023197,42580,10346,
B06,4.16045332538,41850,10059,
B07,4.04007902907,42942,10629,
B08,4.03437854175,42716,10588,
B09,4.01436863641,42187,10509,
B10,4.1230724469,42513,10311,
B11,4.12020888758,41816,10149,
B12,4.05630587788,42648,10514,
C01,3.9733597336,44148,11111,
C02,4.07498568975,42714,10482,
C03,4.08209449863,43111,10561,
C04,4.06880257065,43052,10581,
C05,4.00936504963,42812,10678,
C06,4.07373228934,43703,10728,
C07,4.01767793021,43636,10861,
C08,4.07719928187,43149,10583,
C09,4.06954367915,42718,10497,
C10,4.11550478422,42151,10242,
C11,4.15945733386,42310,10172,
C12,4.22738221409,43876,10379,
D01,4.0631966657,41920,10317,
D02,4.01951357466,42639,10608,
D03,4.03748926834,42325,10483,
D04,4.12604227264,42556,10314,
D05,3.99418974126,43996,11015,
D06,4.07588152327,43347,10635,
D07,4.10471152904,41905,10209,
D08,4.05687684366,44009,10848,
D09,4.16028185788,41919,10076,
D10,4.11942257218,43946,10668,
D11,4.11103351955,41209,10024,
D12,4.02745348413,44157,10964,
E01,4.02747356495,42659,10592,
E02,4.06155008024,43024,10593,
E03,4.10643611912,42748,10410,
E04,4.03333952452,43431,10768,
